Employment date (UNCLASS);Time begin (Z) (UNCLASS);Time end (Z) (UNCLASS);Position MGRS (UNCLASS);Position LAT (UNCLASS);Position LONG (UNCLASS);Mission (UNCLASS);Town (UNCLASS);Province (UNCLASS);Country (UNCLASS);Weather (UNCLASS);Terrain (UNCLASS);Possible CDE issue (UNDCLASS);Comment (UNCLASS)
9-May-15;09:12;;38SME 016 345;35,5492716;43,91438006;AI;Approximately 3.6nm northeast of Tall Mahuz;Kirkuk;Iraq;Clear weather;open area;ND;
9-May-15;09:12;;38SME 016 345;35,5492716;43,91438006;AI;Approximately 3.6nm northeast of Tall Mahuz;Kirkuk;Iraq;Clear weather;open area;ND;
9-May-15;05:38;;38SLD 599 744;35,00252558;43,46470156;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;industrial area;ND;
9-May-15;05:46;;38SLD 623 748;35,00646106;43,49092778;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;industrial area;ND;
9-May-15;05:46;;38SLD 623 748;35,00646106;43,49092778;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;industrial area;ND;
9-May-15;05:46;;38SLD 624 748;35,00647468;43,49202336;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;industrial area;ND;
12-May-15;08:08;;38SLD 599 655;34,92229873;43,4661976;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;urban area;ND;
12-May-15;08:08;;38SLD 599 654;34,92139729;43,46621438;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;urban area;ND;
12-May-15;08:08;;38SLD 599 654;34,92139729;43,46621438;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;urban area;ND;
12-May-15;08:40;;38SLD 598 660;34,92679206;43,46501921;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;urban area;ND;
13-May-15;08:58;;38SLB 775 847;33,29442628;43,68431805;CAS;Approximately 3nm southwest of Fallujah;Anbar;Iraq;Clear weather;urban area;ND;
13-May-15;08:58;;38SLB 775 846;33,29352452;43,68433159;CAS;Approximately 3nm southwest of Fallujah;Anbar;Iraq;Clear weather;urban area;ND;
14-May-15;21:06;;38SLB 427 974;33,40441087;43,30846935;AI;Approximately 1nm south of Ramadi;Anbar;Iraq;Clear weather;urban area;ND;
14-May-15;21:06;;38SLB 427 974;33,40441087;43,30846935;AI;Approximately 1nm south of Ramadi;Anbar;Iraq;Clear weather;urban area;ND;
14-May-15;21:06;;38SLB 427 974;33,40441087;43,30846935;AI;Approximately 1nm south of Ramadi;Anbar;Iraq;Clear weather;urban area;ND;
15-May-15;07:38;;38SKF 467 407;36,47813527;42,17271294;CAS;Approximately 2nm SE of Tall Ash Shawr;Ninawah;Iraq;Scattered clouds from 9000ft- 16000ft;hills and build-up area;ND;
15-May-15;07:42;;38SKF 469 422;36,49169446;42,17445203;CAS;Approximately 2nm SE of Tall Ash Shawr;Ninawah;Iraq;Scattered clouds from 9000ft- 16000ft;hills and build-up area;ND;
15-May-15;08:24;;38SLE 644 922;36,0649368;43,49428504;CAS;Approximately 1nm N of Al kuwayr;Erbil;Iraq;Scattered clouds from 9000ft- 16000ft;hills and build-up area;ND;
15-May-15;08:45;;38SLE 550 720;35,88152945;43,39363596;CAS;Approximately 1nm N of Al kuwayr;Erbil;Iraq;Scattered clouds from 9000ft- 16000ft;hills and build-up area;ND;
15-May-15;10:17;;38SLD 593 657;34,9240185;43,45959726;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;urban area;ND;
15-May-15;10:17;;38SLD 592 657;34,92400462;43,45850279;CAS;Bayji;Salah Ad Din ;Iraq;Clear weather;urban area;ND;
16-May-15;06:08;;38SLF 686 056;36,18628527;43,53867116;AI;Wardak;Ninawah;Iraq;Clear weather;urban area;ND;
16-May-15;06:08;;38SLF 686 057;36,18718654;43,53865442;AI;Wardak;Ninawah;Iraq;Clear weather;urban area;ND;
16-May-15;06:08;;38SLF 683 053;36,18354068;43,53538612;AI;Wardak;Ninawah;Iraq;Clear weather;urban area;ND;
16-May-15;06:08;;38SLF 683 053;36,18354068;43,53538612;AI;Wardak;Ninawah;Iraq;Clear weather;urban area;ND;
16-May-15;06:18;;38SLF 683 053;36,18354068;43,53538612;AI;Wardak;Ninawah;Iraq;Clear weather;urban area;ND;
18-May-15;13:06;;38SKF 923 370;36,45577958;42,68226643;CAS;Approximately 20nm west of Mosul;Ninewa;Iraq;Clear weather;small build up area;ND;
18-May-15;17:56;;37SGA 536 219;36,30877426;41,82449597;CAS;Approximately 2nm southwest of Singar;Ninawah;Iraq;Clear weather;agricultural area;ND;
19-May-15;08:11;;38SLE 482 836;35,98503942;43,31611539;AI;Approximately 22nm southeast of Mosul;Ninewah;Iraq;Clear weather;Rural area;ND;
19-May-15;08:11;;38SLE 482 836;35,98503942;43,31611539;AI;Approximately 22nm southeast of Mosul;Ninewah;Iraq;Clear weather;Rural area;ND;
19-May-15;08:11;;38SLE 482 836;35,98503942;43,31611539;AI;Approximately 22nm southeast of Mosul;Ninewah;Iraq;Clear weather;Rural area;ND;
19-May-15;08:22;;38SLE 482 836;35,98503942;43,31611539;AI;Approximately 22nm southeast of Mosul;Ninewah;Iraq;Clear weather;Rural area;ND;
20-May-15;12:20;;38SLF 264 452;36,53644386;43,06073173;CAS;near Sinjar;Ninewa;Iraq;Clear weather;;ND;
20-May-15;12:20;;38SLF 273 445;36,53029989;43,07093707;CAS;near Sinjar;Ninewa;Iraq;Clear weather;;ND;
20-May-15;13:23;;37SGA 571 234;36,32135349;41,86392834;CAS;near Sinjar;Ninewa;Iraq;Clear weather;;ND;
20-May-15;13:49;;37SGA 566 237;36,32418803;41,85846365;CAS;near Sinjar;Ninewa;Iraq;Clear weather;;ND;
20-May-15;15:31;;38SLE 626 911;36,05477018;43,47449542;CAS;Approximately 20nm W of Mosul;Ninewa;Iraq;Clear weather;Build up area;ND;
20-May-15;15:44;;38SLE 622 899;36,04389842;43,4702651;CAS;Approximately 20nm SE of Mosul;Ninewa;Iraq;Clear weather;Build up area;ND;
20-May-15;17:05;;38SKF 977 353;36,44162023;42,74292634;CAS;Approximately 20nm SE of Mosul;Ninewa;Iraq;Clear weather;Build up area;ND;
20-May-15;17:29;;38SLE 596 485;35,67039558;43,44869995;CAS;Approximately 40nm SE of Mosul;Ninewa;Iraq;Clear weather;Build up area;ND;
21-May-15;07:05;;38SKC 721 644;33,99548371;42,5325752;AI;Quasiriyat;Al Anbar ;Iraq;Clear weather;open area;ND;
21-May-15;07:05;;38SKC 721 644;33,99548371;42,5325752;AI;Quasiriyat;Al Anbar ;Iraq;Clear weather;open area;ND;
21-May-15;07:05;;38SKC 721 644;33,99548371;42,5325752;AI;Quasiriyat;Al Anbar ;Iraq;Clear weather;open area;ND;
22-May-15;15:27;;38SLF 231 449;36,5331359;43,02395621;CAS;Approximately 30nm West of Mosul;Ninewa;Iraq;Hazy weather, dusk;hilly area;ND;
22-May-15;15:47;;38SLF 678 081;36,20870801;43,52935539;CAS;Approximately 30nm West of Mosul;Ninewa;Iraq;Hazy weather, dusk;hilly area;ND;
22-May-15;16:31;;38SKF 468 419;36,48896677;42,17343511;CAS;Approximately 30nm West of Mosul;Ninewa;Iraq;Hazy weather, dusk;hilly area;ND;
22-May-15;16:37;;38SKF 477 438;36,50631239;42,18285102;CAS;Approximately 30nm West of Mosul;Ninewa;Iraq;Hazy weather, dusk;hilly area;ND;
23-May-15;08:01;;38SLE 482 836;35,98503942;43,31611539;AI;Approximately 22nm southeast of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
23-May-15;08:01;;38SLE 482 836;35,98503942;43,31611539;AI;Approximately 22nm southeast of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
23-May-15;08:01;;38SLE 482 836;35,98503942;43,31611539;AI;Approximately 22nm southeast of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
23-May-15;08:01;;38SLE 482 836;35,98503942;43,31611539;AI;Approximately 22nm southeast of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
24-May-15;15:09;;38SLF 686 036;36,16825979;43,53900593;AI;Approximately 15nm South of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
24-May-15;15:09;;38SLF 658 081;36,20843257;43,50711337;AI;Approximately 15nm South of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
24-May-15;15:09;;38SLF 659 082;36,2093477;43,50820835;AI;Approximately 15nm South of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
24-May-15;15:09;;38SLF 660 082;36,20936156;43,50932046;AI;Approximately 15nm South of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
24-May-15;15:09;;38SLF 659 082;36,2093477;43,50820835;AI;Approximately 15nm South of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
24-May-15;15:09;;38SLF 659 082;36,2093477;43,50820835;AI;Approximately 15nm South of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
24-May-15;15:09;;38SLF 659 083;36,21024896;43,50819124;AI;Approximately 15nm South of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
24-May-15;15:09;;38SLF 660 083;36,21026282;43,50930336;AI;Approximately 15nm South of Mosul;Ninewa;Iraq;Clear weather;Rural area;ND;
25-May-15;18:09;;38SLB 701 973;33,4071761;43,60304626;AI;Approximately 15nm east of Ramadi;Anbar;Iraq;Clear weather;Rural area;ND;
25-May-15;18:09;;38SLB 701 973;33,4071761;43,60304626;AI;Approximately 15nm east of Ramadi;Anbar;Iraq;Clear weather;Rural area;ND;
25-May-15;18:09;;38SLB 701 973;33,4071761;43,60304626;AI;Approximately 15nm east of Ramadi;Anbar;Iraq;Clear weather;Rural area;ND;
25-May-15;18:09;;38SLB 701 973;33,4071761;43,60304626;AI;Approximately 15nm east of Ramadi;Anbar;Iraq;Clear weather;Rural area;ND;
25-May-15;18:09;;38SLB 701 973;33,4071761;43,60304626;AI;Approximately 15nm east of Ramadi;Anbar;Iraq;Clear weather;Rural area;ND;
25-May-15;18:09;;38SLB 701 973;33,4071761;43,60304626;AI;Approximately 15nm east of Ramadi;Anbar;Iraq;Clear weather;Rural area;ND;
26-May-15;15:00;;37SGA 555 237;36,32448035;41,84622358;AI;Sinjar;Ninewa;Iraq;Marginal weather;Rural area;ND;
26-May-15;15:00;;37SGA 555 237;36,32448035;41,84622358;AI;Sinjar;Ninewa;Iraq;Marginal weather;Rural area;ND;
26-May-15;15:00;;37SGA 555 237;36,32448035;41,84622358;AI;Sinjar;Ninewa;Iraq;Marginal weather;Rural area;ND;
26-May-15;15:00;;37SGA 555 237;36,32448035;41,84622358;AI;Sinjar;Ninewa;Iraq;Marginal weather;Rural area;ND;
26-May-15;15:00;;37SGA 555 237;36,32448035;41,84622358;AI;Sinjar;Ninewa;Iraq;Marginal weather;Rural area;ND;
26-May-15;15:00;;37SGA 555 238;36,32538078;41,84625636;AI;Sinjar;Ninewa;Iraq;Marginal weather;Rural area;ND;
26-May-15;16:07;;37SGA 576 227;36,31491707;41,86926052;CAS;Sinjar;Ninewa;Iraq;Marginal weather;Rural area;ND;
26-May-15;15:30;;37SGA 579 225;36,31303602;41,87253214;CAS;Sinjar;Ninewa;Iraq;Marginal weather;Rural area;ND;
26-May-15;16:07;;37SGA 583 227;36,31472973;41,87704856;CAS;Sinjar;Ninewa;Iraq;Marginal weather;Rural area;ND;
26-May-15;21:18;;38SLD 660 770;35,02679014;43,53110991;CAS;Bayji;Salah Ad Din;Iraq;Clear weather;Industrial area;ND;
26-May-15;21:32;;38SLD 660 770;35,02679014;43,53110991;CAS;Bayji;Salah Ad Din;Iraq;Clear weather;Industrial area;ND;
29-May-15;18:03;;37SGA 511 135;36,23378856;41,7939837;AI;Sinjar;Ninewa;Iraq;Clear weather;urban area;ND;
29-May-15;18:03;;37SGA 511 135;36,23378856;41,7939837;AI;Sinjar;Ninewa;Iraq;Clear weather;urban area;ND;
29-May-15;18:03;;37SGA 511 135;36,23378856;41,7939837;AI;Sinjar;Ninewa;Iraq;Clear weather;urban area;ND;
29-May-15;18:03;;37SGA 511 135;36,23378856;41,7939837;AI;Sinjar;Ninewa;Iraq;Clear weather;urban area;ND;
29-May-15;19:47;;37SGA 574 240;36,32667588;41,86746445;CAS;Sinjar;Ninewa;Iraq;Clear weather;urban area;ND;
30-May-15;20:53;;37SGA 555 238;36,32538078;41,84625636;CAS;Sinjar;Ninawah ;Iraq;Clear weather;urban area;ND;
31-May-15;21:06;;38SLF 267 246;36,3508897;43,06868848;AI;Southwest of Mosul;Ninewa;Iraq;Clear weather;urban area;ND;
31-May-15;21:06;;38SLF 267 246;36,3508897;43,06868848;AI;Southwest of Mosul;Ninewa;Iraq;Clear weather;urban area;ND;
31-May-15;21:06;;38SLF 268 247;36,35180873;43,06978009;AI;Southwest of Mosul;Ninewa;Iraq;Clear weather;urban area;ND;
31-May-15;21:06;;38SLF 268 247;36,35180873;43,06978009;AI;Southwest of Mosul;Ninewa;Iraq;Clear weather;urban area;ND;
31-May-15;21:06;;38SLF 267 245;36,34998867;43,06871074;AI;Southwest of Mosul;Ninewa;Iraq;Clear weather;urban area;ND;
31-May-15;21:06;;38SLF 267 245;36,34998867;43,06871074;AI;Southwest of Mosul;Ninewa;Iraq;Clear weather;urban area;ND;
31-May-15;21:06;;38SLF 267 246;36,3508897;43,06868848;AI;Southwest of Mosul;Ninewa;Iraq;Clear weather;urban area;ND;
31-May-15;21:06;;38SLF 267 246;36,3508897;43,06868848;AI;Southwest of Mosul;Ninewa;Iraq;Clear weather;urban area;ND;
2-jun-15;21:02;;38SLE 894 094;35,32171462;43,78321601;AI;Hawiyjah;Salah Ad Din;Iraq;Clear weather;Industrial area;;Multiple industrial buildings destroyed by secondary explosion (Indicent reported in Parliamentary Paper 27925 nr. 670, date Nov 4 2019)
2-jun-15;21:02;;38SLE 894 094;35,32171462;43,78321601;AI;Hawiyjah;Salah Ad Din;Iraq;Clear weather;Industrial area;;Multiple industrial buildings destroyed by secondary explosion (Indicent reported in Parliamentary Paper 27925 nr. 670, date Nov 4 2019)
2-jun-15;21:02;;38SLE 894 094;35,32171462;43,78321601;AI;Hawiyjah;Salah Ad Din;Iraq;Clear weather;Industrial area;;Multiple industrial buildings destroyed by secondary explosion (Indicent reported in Parliamentary Paper 27925 nr. 670, date Nov 4 2019)
2-jun-15;21:02;;38SLE 894 094;35,32171462;43,78321601;AI;Hawiyjah;Salah Ad Din;Iraq;Clear weather;Industrial area;;Multiple industrial buildings destroyed by secondary explosion (Indicent reported in Parliamentary Paper 27925 nr. 670, date Nov 4 2019)
2-jun-15;21:02;;38SLE 894 094;35,32171462;43,78321601;AI;Hawiyjah;Salah Ad Din;Iraq;Clear weather;Industrial area;;Multiple industrial buildings destroyed by secondary explosion (Indicent reported in Parliamentary Paper 27925 nr. 670, date Nov 4 2019)
2-jun-15;21:02;;38SLE 894 094;35,32171462;43,78321601;AI;Hawiyjah;Salah Ad Din;Iraq;Clear weather;Industrial area;;Multiple industrial buildings destroyed by secondary explosion (Indicent reported in Parliamentary Paper 27925 nr. 670, date Nov 4 2019)
5-jun-15;21:05;;37SGV 446 919;36,04093509;41,71501802;AI;Al Baaj ;Ninewa ;Iraq;Night, clear weather;urban area;ND;
5-jun-15;21:05;;37SGV 446 919;36,04093509;41,71501802;AI;Al Baaj ;Ninewa ;Iraq;Night, clear weather;urban area;ND;
5-jun-15;21:05;;37SGV 446 919;36,04093509;41,71501802;AI;Al Baaj ;Ninewa ;Iraq;Night, clear weather;urban area;ND;
5-jun-15;21:05;;37SGV 446 919;36,04093509;41,71501802;AI;Al Baaj ;Ninewa ;Iraq;Night, clear weather;urban area;ND;
5-jun-15;21:05;;37SGV 446 919;36,04093509;41,71501802;AI;Al Baaj ;Ninewa ;Iraq;Night, clear weather;urban area;ND;
5-jun-15;21:05;;37SGV 446 919;36,04093509;41,71501802;AI;Al Baaj ;Ninewa ;Iraq;Night, clear weather;urban area;ND;
5-jun-15;21:05;;37SGV 446 919;36,04093509;41,71501802;AI;Al Baaj ;Ninewa ;Iraq;Night, clear weather;urban area;ND;
5-jun-15;21:05;;37SGV 446 919;36,04093509;41,71501802;AI;Al Baaj ;Ninewa ;Iraq;Night, clear weather;urban area;ND;
5-jun-15;21:05;;37SGV 446 919;36,04093509;41,71501802;AI;Al Baaj ;Ninewa ;Iraq;Night, clear weather;urban area;ND;
6-jun-15;01:34;;38SLC 706 036;33,46404409;43,6075147;CAS;Approximately 11nm northwest of Fallujah;Anbar ;Iraq;Clear weather;open area;ND;
6-jun-15;01:49;;38SLC 705 037;33,4649337;43,60642443;CAS;Approximately 11nm northwest of Fallujah;Anbar ;Iraq;Clear weather;open area;ND;
6-jun-15;03:00;;38SLC 705 045;33,47214732;43,60630896;CAS;Approximately 11nm northwest of Fallujah;Anbar ;Iraq;Clear weather;open area;ND;
6-jun-15;03:29;;38SLC 705 038;33,46583541;43,60641;CAS;Approximately 11nm northwest of Fallujah;Anbar ;Iraq;Clear weather;open area;ND;
8-jun-15;11:43;;38SLF 665 171;36,2896422;43,51336211;CAS;Ivo Mosul;Ninawah ;Iraq;Clear weather;urban area;ND;
8-jun-15;11:44;;38SLF 629 203;36,3179764;43,47272333;CAS;Ivo Mosul;Ninawah ;Iraq;Clear weather;urban area;ND;
8-jun-15;11:56;;38SLF 408 416;36,50651201;43,22226195;CAS;Ivo Mosul;Ninawah ;Iraq;Clear weather;urban area;ND;
8-jun-15;11:56;;38SLF 413 431;36,52011134;43,2275346;CAS;Ivo Mosul;Ninawah ;Iraq;Clear weather;urban area;ND;
9-jun-15;09:31;;38SLD 633 757;35,0147097;43,50173561;CAS;Approximately 4nm north of Bayji;Salah Al Din ;Iraq;Clear weather;industrial area;ND;
9-jun-15;12:08;;38SLD 619 773;35,02894214;43,48613012;CAS;Approximately 4nm north of Bayji;Salah Al Din ;Iraq;Clear weather;industrial area;ND;
9-jun-15;13:31;;38SLD 631 756;35,01378119;43,4995607;CAS;Approximately 4nm north of Bayji;Salah Al Din ;Iraq;Clear weather;industrial area;ND;
10-jun-15;10:09;;37SGA 213 238;36,3338451;41,46561314;CAS;IVO of Sinjar;Ninewa ;Iraq;Clear weather;rural area;ND;
10-jun-15;10:09;;37SGA 212 238;36,33386808;41,46449992;CAS;IVO of Sinjar;Ninewa ;Iraq;Clear weather;rural area;ND;
12-jun-15;07:32;;37SGA 219 215;36,31299084;41,47163778;CAS;Approximately 20nm west of Sinjar and 10nm east of Tal Afar;Ninewa ;Iraq;;Rural area, Urban area;ND;
12-jun-15;08:34;;37SGA 221 220;36,31744829;41,47400599;CAS;Approximately 20nm west of Sinjar and 10nm east of Tal Afar;Ninewa ;Iraq;;Rural area, Urban area;ND;
12-jun-15;08:52;;38SKF 925 373;36,45852525;42,68441621;CAS;Approximately 20nm west of Sinjar and 10nm east of Tal Afar;Ninewa ;Iraq;;Rural area, Urban area;ND;
13-jun-15;08:18;;38SKF 902 363;36,44901695;42,65903962;CAS;Approximately 19nm west of Sinjar;Ninawah ;Iraq;Clear weather;mountainous area;ND;
13-jun-15;08:32;;37SGA 208 221;36,31864776;41,45956548;CAS;Approximately 19nm west of Sinjar;Ninawah ;Iraq;Clear weather;mountainous area;ND;
13-jun-15;08:32;;37SGA 210 208;36,30689264;41,46142317;CAS;Approximately 19nm west of Sinjar;Ninawah ;Iraq;Clear weather;mountainous area;ND;
15-jun-15;18:10;;38SLF 612 064;36,19246238;43,45625877;AI;Approximately 10NM SE of Mosul;Ninawa;Iraq;Clear weather ;Urban Area;ND;
15-jun-15;18:10;;38SLF 612 064;36,19246238;43,45625877;AI;Approximately 10NM SE of Mosul;Ninawa;Iraq;Clear weather ;Urban Area;ND;
15-jun-15;18:20;;38SLF 612 064;36,19246238;43,45625877;AI;Approximately 10NM SE of Mosul;Ninawa;Iraq;Clear weather ;Urban Area;ND;
15-jun-15;18:04;;38SLF 598 112;36,23551948;43,43983429;AI;Approximately 10NM SE of Mosul;Ninawa;Iraq;Clear weather ;Urban Area;ND;
15-jun-15;12:32;;38SLF 676 018;36,15190072;43,52819386;CAS ;Approximately 2nm South of Wardak;Ninewa ;Iraq;Clear weather;Urban Area;ND;
15-jun-15;14:04;;38SME 167 212;35,43074957;44,08231773;CAS ;Approximately 2nm South of Wardak;Ninewa ;Iraq;Clear weather;Urban Area;ND;
15-jun-15;14:04;;38SME 164 213;35,43162598;44,07900286;CAS ;Approximately 2nm South of Wardak;Ninewa ;Iraq;Clear weather;Urban Area;ND;
16-jun-15;13:08;;37SGA 543 237;36,32479782;41,83287058;CAS ;Approximately 2nm of the village Sinjar;Ninewah ;Iraq;Partly cloudy;mountainous terrain;ND;
16-jun-15;13:17;;37SGA 597 249;36,33416218;41,89335722;CAS ;Approximately 2nm of the village Sinjar;Ninewah ;Iraq;Partly cloudy;mountainous terrain;ND;
16-jun-15;13:17;;37SGA 594 248;36,33334263;41,88998543;CAS ;Approximately 2nm of the village Sinjar;Ninewah ;Iraq;Partly cloudy;mountainous terrain;ND;
17-jun-15;12:41;;37SGA 578 227;36,31486359;41,87148568;CAS ;Village of Sinjar;Ninewah ;Iraq;Partly cloudy;mountainous terrain;ND;
17-jun-15;21:00;;38SLB 314 979;33,40720269;43,18691198;AI;Approximately 5NM west of Ramadi;Anbar ;Iraq;Marginal weather;urban area;ND;
17-jun-15;21:00;;38SLB 314 979;33,40720269;43,18691198;AI;Approximately 5NM west of Ramadi;Anbar ;Iraq;Marginal weather;urban area;ND;
17-jun-15;21:00;;38SLB 314 979;33,40720269;43,18691198;AI;Approximately 5NM west of Ramadi;Anbar ;Iraq;Marginal weather;urban area;ND;
17-jun-15;21:00;;38SLB 314 979;33,40720269;43,18691198;AI;Approximately 5NM west of Ramadi;Anbar ;Iraq;Marginal weather;urban area;ND;
19-jun-15;20:52;;38SLB 781 845;33,29269081;43,69078769;CAS;Approximately 6nm southwest of Fallujah;Anbar ;Iraq;Clear weather;urban area;ND;
19-jun-15;21:00;;38SLB 781 845;33,29269081;43,69078769;CAS;Approximately 6nm southwest of Fallujah;Anbar ;Iraq;Clear weather;urban area;ND;
20-jun-15;12:49;;37SGA 557 237;36,3244273;41,84844906;CAS;Sinjar and 30NM east of Sinjar;;Iraq;Clear weather;mix urban and rural area;ND;
20-jun-15;12:53;;37SGA 553 233;36,32093164;41,84386713;CAS;Sinjar and 30NM east of Sinjar;;Iraq;Clear weather;mix urban and rural area;ND;
20-jun-15;15:11;;38SLF 198 398;36,48657059;42,98830414;CAS;Sinjar and 30NM east of Sinjar;;Iraq;Clear weather;mix urban and rural area;ND;
20-jun-15;15:31;;38SKF 909 366;36,45187216;42,66676342;CAS;Sinjar and 30NM east of Sinjar;;Iraq;Clear weather;mix urban and rural area;ND;
21-jun-15;12:18;12:19;38SLE 432 612;35,78238027;43,26508361;AI;Approximately 35nm south of Mosul;Ninawah ;Iraq;Clear weather;urban area;ND;
21-jun-15;12:18;12:19;38SLE 431 612;35,7823643;43,26397761;AI;Approximately 35nm south of Mosul;Ninawah ;Iraq;Clear weather;urban area;ND;
21-jun-15;12:18;12:19;38SLE 431 612;35,7823643;43,26397761;AI;Approximately 35nm south of Mosul;Ninawah ;Iraq;Clear weather;urban area;ND;
21-jun-15;12:18;12:19;38SLE 431 612;35,7823643;43,26397761;AI;Approximately 35nm south of Mosul;Ninawah ;Iraq;Clear weather;urban area;ND;
21-jun-15;12:34;;38SLF 197 371;36,46222571;42,98781758;CAS;Approximately 8nm northwest of Mosul & 1nm northwest of Sinjar village;Ninewah ;Iraq;Clear weather;open & mountainous terrain;ND;
21-jun-15;14:06;;37SGA 548 238;36,32556616;41,83846704;CAS;Approximately 8nm northwest of Mosul & 1nm northwest of Sinjar village;Ninewah ;Iraq;Clear weather;open & mountainous terrain;ND;
22-jun-15;13:36;;38SKF 902 355;36,44181076;42,65925622;CAS;Approximately 10nm east of Tall Afar;Nenewa ;Iraq;Clear weather;urban area;ND;
22-jun-15;14:25;;38SLF 657 177;36,29493858;43,50435292;CAS;20nm west of Mosul;Nenewa ;Iraq;Clear weather;urban area;ND;
24-jun-15;13:22;;38SKF 971 362;36,4496009;42,73600115;AI;Approximately 20nm northwest of Mosul;Ninawah ;Iraq;Clear weather;flat area;ND;
24-jun-15;13:28;;38SKF 971 362;36,4496009;42,73600115;AI;Approximately 20nm northwest of Mosul;Ninawah ;Iraq;Clear weather;flat area;ND;
24-jun-15;13:28;;38SKF 971 362;36,4496009;42,73600115;AI;Approximately 20nm northwest of Mosul;Ninawah ;Iraq;Clear weather;flat area;ND;
24-jun-15;13:28;;38SKF 971 362;36,4496009;42,73600115;AI;Approximately 20nm northwest of Mosul;Ninawah ;Iraq;Clear weather;flat area;ND;
24-jun-15;13:28;;38SKF 971 362;36,4496009;42,73600115;AI;Approximately 20nm northwest of Mosul;Ninawah ;Iraq;Clear weather;flat area;ND;
24-jun-15;13:28;;38SKF 971 362;36,4496009;42,73600115;AI;Approximately 20nm northwest of Mosul;Ninawah ;Iraq;Clear weather;flat area;ND;
24-jun-15;11:24;;38SKF 981 388;36,47323343;42,74647355;CAS;Approximately 20nm Northwest of Mosul;Ninawah ;Iraq;Clear weather ;mountainous terrain;ND;
26-jun-15;16:02;;38SKF 927 375;36,4603701;42,68659291;CAS;Approximately 20nm northwest of MOSUL;Ninawah ;Iraq;Clear weather ;urban area;ND;
27-jun-15;15:25;;38SLE 508 833;35,98273704;43,3450022;CAS;Ivo Mosul;Ninawah ;Iraq;Clear weather;urban and open area;ND;
27-jun-15;15:58;;38SLF 589 315;36,41833305;43,42614673;CAS;Ivo Mosul;Ninawah ;Iraq;Clear weather;urban and open area;ND;
30-jun-15;18:59;;38SLF 318 455;36,54011247;43,12095934;CAS;Village of Batnay;Ninawah ;Iraq;Clear weather ;urban area;ND;
30-jun-15;19:04;;38SLF 318 455;36,54011247;43,12095934;CAS;Village of Batnay;Ninawah ;Iraq;Clear weather ;urban area;ND;
1-jul-15;12:18;;38SME 014 353;35,5564637;43,91207643;CAS;Approximately 28nm west of Kirkuk;Kirkuk;Iraq;Clear weather;rural area;ND;
1-jul-15;13:12;;38SLF 225 464;36,54653925;43,01691236;CAS;approximately 13nm northwest of Mosul;Ninawa ;Iraq;Clear weather;rural area;ND;
1-jul-15;20:46;;38SLF 320 457;36,5419497;43,12314898;CAS;Approximately 10NM N of Mosul;Ninawah ;Iraq;Clear weather;edge of urban area;ND;
1-jul-15;22:06;;38SLB 973 780;33,23607281;43,89769703;CAS;Approximately 10nm east of Taqaddum AB;Babil ;Iraq;Clear weather;vegetation area with trenches;ND;
1-jul-15;21:38;;38SLB 973 780;33,23607281;43,89769703;CAS;Approximately 10nm east of Taqaddum AB;Babil ;Iraq;Clear weather;vegetation area with trenches;ND;
1-jul-15;21:50;;38SLB 973 780;33,23607281;43,89769703;CAS;Approximately 10nm east of Taqaddum AB;Babil ;Iraq;Clear weather;vegetation area with trenches;ND;
4-jul-15;07:09;;38SLD 533 856;35,10254395;43,39041955;AI ;Approximately 8nm Northwest of Bayji;Salah Ad Din ;Iraq;Clear weather;Industrial area;ND;
4-jul-15;07:09;;38SLD 533 856;35,10254395;43,39041955;AI ;Approximately 8nm Northwest of Bayji;Salah Ad Din ;Iraq;Clear weather;Industrial area;ND;
4-jul-15;07:09;;38SLD 533 856;35,10254395;43,39041955;AI ;Approximately 8nm Northwest of Bayji;Salah Ad Din ;Iraq;Clear weather;Industrial area;ND;
4-jul-15;07:09;;38SLD 533 856;35,10254395;43,39041955;AI ;Approximately 8nm Northwest of Bayji;Salah Ad Din ;Iraq;Clear weather;Industrial area;ND;
4-jul-15;07:09;;38SLD 533 856;35,10254395;43,39041955;AI ;Approximately 8nm Northwest of Bayji;Salah Ad Din ;Iraq;Clear weather;Industrial area;ND;
